"","team","location","date","link"
"1","Oklahoma","Pensacola, Fla.","Feb 14","http://www.soonersports.com"
"2","Oklahoma","Pensacola, Fla.","Feb 15","http://www.soonersports.com"
"3","Oklahoma","Pensacola, Fla.","Feb 16","http://www.soonersports.com"
"4","VMI","Charlottesville, VA","Feb 18","http://www.vmikeydets.com/"
"5","Bucknell","Charlottesville, VA","Feb 21","http://www.bucknellbison.com/"
"6","Bucknell","Charlottesville, VA","Feb 22","http://www.bucknellbison.com/"
"7","Bucknell","Charlottesville, VA","Feb 23","http://www.bucknellbison.com/"
"8","William & Mary","Charlottesville, VA","Feb 25","http://www.tribeathletics.com/"
"9","Dartmouth","Charlottesville, VA","Feb 28","http://www.dartmouthsports.com/"
"10","Dartmouth","Charlottesville, VA","Feb 29","http://www.dartmouthsports.com/"
"11","Dartmouth","Charlottesville, VA","Mar 1","http://www.dartmouthsports.com/"
"12","Richmond","Charlottesville, VA","Mar 3","http://richmondspiders.com/"
"13","NC State","Charlottesville, VA","Mar 6","http://gopack.com/"
"14","NC State","Charlottesville, VA","Mar 7","http://gopack.com/"
"15","NC State","Charlottesville, VA","Mar 8","http://gopack.com/"
"16","Umass Lowell","Charlottesville, VA","Mar 10","http://www.goriverhawks.com/"
"17","Umass Lowell","Charlottesville, VA","Mar 11","http://www.goriverhawks.com/"
"18","Pittsburgh","Pittsburgh, PA","Mar 13","http://www.pittsburghpanthers.com"
"19","Pittsburgh","Pittsburgh, PA","Mar 14","http://www.pittsburghpanthers.com"
"20","Pittsburgh","Pittsburgh, PA","Mar 15","http://www.pittsburghpanthers.com"
"21","Longwood","Charlottesville, VA","Mar 17","http://www.longwoodlancers.com/"
"22","Miami","Coral Gables, FL","Mar 20","http://www.hurricanesports.com/"
"23","Miami","Coral Gables, FL","Mar 21","http://www.hurricanesports.com/"
"24","Miami","Coral Gables, FL","Mar 22","http://www.hurricanesports.com/"
"25","JMU","Charlottesville, VA","Mar 24","http://www.jmusports.com/"
"26","Virginia Tech","Charlottesville, VA","Mar 27","http://www.hokiesports.com/"
"27","Virginia Tech","Charlottesville, VA","Mar 28","http://www.hokiesports.com/"
"28","Virginia Tech","Charlottesville, VA","Mar 29","http://www.hokiesports.com/"
"29","Cornell","Charlottesville, VA","Mar 31","http://www.cornellbigred.com/"
"30","Cornell","Charlottesville, VA","Apr 1","http://www.cornellbigred.com/"
"31","Louisville","Louisville, KY","Apr 3","http://www.gocards.com/"
"32","Louisville","Louisville, KY","Apr 4","http://www.gocards.com/"
"33","Louisville","Louisville, KY","Apr 5","http://www.gocards.com/"
"34","VCU","Richmond, VA","Apr 7","http://vcuathletics.com"
"35","Wake Forest","Charlottesville, VA","Apr 9","http://www.godeacs.com"
"36","Wake Forest","Charlottesville, VA","Apr 10","http://www.godeacs.com"
"37","Wake Forest","Charlottesville, VA","Apr 11","http://www.godeacs.com"
"38","Old Dominion","Charlottesville, VA","Apr 14","http://www.odusports.com/"
"39","Radford","Charlottesville, VA","Apr 15","http://www.ruhighlanders.com/"
"40","Boston College","Brighton, MA","Apr 17","http://bceagles.com/"
"41","Boston College","Brighton, MA","Apr 18","http://bceagles.com/"
"42","Boston College","Brighton, MA","Apr 19","http://bceagles.com/"
"43","Liberty","Charlottesville, VA","Apr 21","http://www.libertyflames.com"
"44","George Washington","Charlottesville, VA","Apr 22","http://www.gwsports.com/"
"45","Duke","Durham, NC","Apr 24","http://www.goduke.com/"
"46","Duke","Durham, NC","Apr 25","http://www.goduke.com/"
"47","Duke","Durham, NC","Apr 26","http://www.goduke.com/"
"48","Old Dominion","Norfolk, VA","Apr 28","http://www.odusports.com/"
"49","Georgia Tech","Charlottesville, VA","May 8","http://www.ramblinwreck.com/"
"50","Georgia Tech","Charlottesville, VA","May 9","http://www.ramblinwreck.com/"
"51","Georgia Tech","Charlottesville, VA","May 10","http://www.ramblinwreck.com/"
"52","VCU","Charlottesville, VA","May 12","http://vcuathletics.com"
"53","North Carolina","Charlottesville, VA","May 14","http://goheels.com/"
"54","North Carolina","Charlottesville, VA","May 15","http://goheels.com/"
"55","North Carolina","Charlottesville, VA","May 16","http://goheels.com/"
"56","2020 Virginia Baseball",NA,NA,"http://www.virginiasports.com"
