team,location,date,link,roster,stats,site_type
Oklahoma,"Pensacola, Fla.",Feb 14,http://www.soonersports.com,/sports/baseball/roster,PDF Only,sidearm
Oklahoma,"Pensacola, Fla.",Feb 15,http://www.soonersports.com,/sports/baseball/roster,PDF Only,sidearm
Oklahoma,"Pensacola, Fla.",Feb 16,http://www.soonersports.com,/sports/baseball/roster,PDF Only,sidearm
VMI,"Charlottesville, VA",Feb 18,http://www.vmikeydets.com/,/sports/baseball/roster,https://vmi_ftp.sidearmsports.com/custompages/stats/2018-19/baseball/teamstat.htm,sidearm
Bucknell,"Charlottesville, VA",Feb 21,http://www.bucknellbison.com/,/sports/baseball/roster,sports/baseball/stats/2019,sidearm
Bucknell,"Charlottesville, VA",Feb 22,http://www.bucknellbison.com/,/sports/baseball/roster,sports/baseball/stats/2019,sidearm
Bucknell,"Charlottesville, VA",Feb 23,http://www.bucknellbison.com/,/sports/baseball/roster,sports/baseball/stats/2019,sidearm
William & Mary,"Charlottesville, VA",Feb 25,http://www.tribeathletics.com/,/roster.aspx?path=baseball,https://static.tribeathletics.com/custompages/files/bsb/2019/html/teamstat.htm,sidearm
Dartmouth,"Charlottesville, VA",Feb 28,http://www.dartmouthsports.com/,/sports/baseball/roster,https://static.dartmouthsports.com/custompages/Statistics/18-19/Baseball/teamstat.htm,sidearm
Dartmouth,"Charlottesville, VA",Feb 29,http://www.dartmouthsports.com/,/sports/baseball/roster,https://static.dartmouthsports.com/custompages/Statistics/18-19/Baseball/teamstat.htm,sidearm
Dartmouth,"Charlottesville, VA",Mar 1,http://www.dartmouthsports.com/,/sports/baseball/roster,https://static.dartmouthsports.com/custompages/Statistics/18-19/Baseball/teamstat.htm,sidearm
Richmond,"Charlottesville, VA",Mar 3,http://richmondspiders.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
NC State,"Charlottesville, VA",Mar 6,http://gopack.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
NC State,"Charlottesville, VA",Mar 7,http://gopack.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
NC State,"Charlottesville, VA",Mar 8,http://gopack.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Umass Lowell,"Charlottesville, VA",Mar 10,http://www.goriverhawks.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Umass Lowell,"Charlottesville, VA",Mar 11,http://www.goriverhawks.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Pittsburgh,"Pittsburgh, PA",Mar 13,http://www.pittsburghpanthers.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Pittsburgh,"Pittsburgh, PA",Mar 14,http://www.pittsburghpanthers.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Pittsburgh,"Pittsburgh, PA",Mar 15,http://www.pittsburghpanthers.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Longwood,"Charlottesville, VA",Mar 17,http://www.longwoodlancers.com/,/sports/baseball/roster,https://static.longwoodlancers.com/custompages/bball/2019/teamstat.htm?path=bball&path=bball,sidearm
Miami,"Coral Gables, FL",Mar 20,http://www.hurricanesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Miami,"Coral Gables, FL",Mar 21,http://www.hurricanesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Miami,"Coral Gables, FL",Mar 22,http://www.hurricanesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
JMU,"Charlottesville, VA",Mar 24,http://www.jmusports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Virginia Tech,"Charlottesville, VA",Mar 27,http://www.hokiesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Virginia Tech,"Charlottesville, VA",Mar 28,http://www.hokiesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Virginia Tech,"Charlottesville, VA",Mar 29,http://www.hokiesports.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Cornell,"Charlottesville, VA",Mar 31,http://www.cornellbigred.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Cornell,"Charlottesville, VA",Apr 1,http://www.cornellbigred.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Louisville,"Louisville, KY",Apr 3,http://www.gocards.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Louisville,"Louisville, KY",Apr 4,http://www.gocards.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
Louisville,"Louisville, KY",Apr 5,http://www.gocards.com/,/sports/baseball/roster,/sports/baseball/stats,sidearm
VCU,"Richmond, VA",Apr 7,http://vcuathletics.com,/sports/bsb/2019-20/roster,https://vcuathletics.com/sports/bsb/2018-19/files/teamcume.htm,presto
Wake Forest,"Charlottesville, VA",Apr 9,http://www.godeacs.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Wake Forest,"Charlottesville, VA",Apr 10,http://www.godeacs.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Wake Forest,"Charlottesville, VA",Apr 11,http://www.godeacs.com,/sports/baseball/roster,/sports/baseball/stats,sidearm
Old Dominion,"Charlottesville, VA",Apr 14,http://www.odusports.com/,/sports/baseball/roster,https://admin.xosn.com/fls/31100//2018-19/Baseball/_HTML/teamstat.htm?path=bsb,sidearm
