team,location,date,link,roster,stats,site_type
Charlotte,"Charlotte, N.C.",Feb 7,http://www.charlotte49ers.com/,,,
App State,"Charlotte, N.C.",Feb 8,http://www.appstatesports.com,,,
Charlotte,"Charlotte, N.C.",Feb 8,http://www.charlotte49ers.com/,,,
App State,"Charlotte, N.C.",Feb 9,http://www.appstatesports.com,,,
UNCG,"Rock Hill, S.C.",Feb 14,http://www.uncgspartans.com/,,,
Winthrop,"Rock Hill, S.C.",Feb 14,http://www.winthropeagles.com/,,,
Holy Cross,"Rock Hill, S.C.",Feb 15,http://goholycross.com,,,
Georgetown,"Rock Hill, S.C.",Feb 15,http://www.guhoyas.com/,,,
Boston,"Rock Hill, S.C.",Feb 16,http://www.goterriers.com/,,,
Tennessee Tech,"Spartanburg, S.C.",Feb 21,http://www.ttusports.com/,,,
Maine,"Spartanburg, S.C.",Feb 21,http://www.goblackbears.com,,,
La Salle,"Spartanburg, S.C.",Feb 22,http://www.goexplorers.com/,,,
Tennessee Tech,"Spartanburg, S.C.",Feb 23,http://www.ttusports.com/,,,
USC Upstate,"Spartanburg, S.C.",Feb 23,http://upstatespartans.com,,,
Clemson,"Clemson, S.C.",Feb 28,http://www.clemsontigers.com/,,,
Clemson,"Clemson, S.C.",Feb 29,http://www.clemsontigers.com/,,,
Clemson,"Clemson, S.C.",Mar 1,http://www.clemsontigers.com/,,,
James Madison,Palmer Park,Mar 3,http://www.jmusports.com/,,,
Virginia Tech,Palmer Park,Mar 6,http://www.hokiesports.com/,,,
Virginia Tech,Palmer Park,Mar 7,http://www.hokiesports.com/,,,
Virginia Tech,Palmer Park,Mar 8,http://www.hokiesports.com/,,,
Bucknell,Palmer Park,Mar 10,http://www.bucknellbison.com/,,,
North Carolina,Palmer Park,Mar 13,http://goheels.com/,,,
North Carolina,Palmer Park,Mar 14,http://goheels.com/,,,
North Carolina,Palmer Park,Mar 15,http://goheels.com/,,,
Hampton,"Hampton, VA",Mar 17,http://www.hamptonpirates.com/,,,
Syracuse,"Syracuse, N.Y.",Mar 20,http://www.cuse.com,,,
Syracuse,"Syracuse, N.Y.",Mar 21,http://www.cuse.com,,,
Syracuse,"Syracuse, N.Y.",Mar 22,http://www.cuse.com,,,
Liberty,"Lynchburg, VA",Mar 24,http://www.libertyflames.com,,,
Buffalo,Palmer Park,Mar 27,http://www.buffalobulls.com,,,
Western Carolina,Palmer Park,Mar 28,http://www.catamountsports.com,,,
Buffalo,Palmer Park,Mar 28,http://www.buffalobulls.com,,,
Presbyterian,Palmer Park,Mar 29,http://www.gobluehose.com/,,,
Towson,"Towson, MD",Mar 31,http://www.towsontigers.com/,,,
Georgia Tech,Palmer Park,Apr 3,http://www.ramblinwreck.com/,,,
Georgia Tech,Palmer Park,Apr 4,http://www.ramblinwreck.com/,,,
Georgia Tech,Palmer Park,Apr 5,http://www.ramblinwreck.com/,,,
Longwood,Palmer Park,Apr 6,http://www.longwoodlancers.com/,,,
Pitt,"Pittsburgh, PA",Apr 10,http://www.pittsburghpanthers.com,,,
Pitt,"Pittsburgh, PA",Apr 11,http://www.pittsburghpanthers.com,,,
Pitt,"Pittsburgh, PA",Apr 12,http://www.pittsburghpanthers.com,,,
Radford,Palmer Park,Apr 14,http://www.ruhighlanders.com/,,,
Louisville,Palmer Park,Apr 17,http://www.gocards.com/,,,
Louisville,Palmer Park,Apr 18,http://www.gocards.com/,,,
Louisville,Palmer Park,Apr 19,http://www.gocards.com/,,,
George Washington,Palmer Park,Apr 21,http://www.gwsports.com/,,,
Florida State,"Tallahassee, FL",Apr 24,http://www.seminoles.com/,,,
Florida State,"Tallahassee, FL",Apr 25,http://www.seminoles.com/,,,
Florida State,"Tallahassee, FL",Apr 26,http://www.seminoles.com/,,,
Liberty,Palmer Park,Apr 28,http://www.libertyflames.com,,,
2020 Virginia Softball,NA,NA,http://www.virginiasports.com,,,
